##id, county, region, EX, EW, CR, EN, VU, NT, LRCD, DD, LC
1,Algeria,North Africa,2,1,17,38,72,58,0,139,921
2,Egypt,North Africa,1,1,14,28,122,136,2,180,1729
3,Libya,North Africa,0,1,10,16,41,28,0,68,684
4,Morocco,North Africa,2,0,29,59,89,81,0,182,1440
5,Tunisia,North Africa,11,0,15,24,56,48,0,99,846
6,Western Sahara,North Africa,0,1,6,18,34,32,0,108,921
7,Angola,Sub-Saharan Africa,0,0,15,36,77,61,0,235,2498
8,Benin,Sub-Saharan Africa,0,0,15,19,51,49,0,111,1689
9,Botswana,Sub-Saharan Africa,0,0,4,7,19,29,0,10,1031
10,Burkina Faso,Sub-Saharan Africa,0,1,7,6,18,22,0,3,790
11,Burundi,Sub-Saharan Africa,0,0,6,15,33,39,0,36,1063
12,Cabo Verde,Sub-Saharan Africa,1,0,9,21,38,31,0,99,897
13,Cameroon,Sub-Saharan Africa,0,0,64,107,127,82,0,214,2640
14,Central African Republic,Sub-Saharan Africa,0,0,9,9,26,27,0,48,1379
15,Chad,Sub-Saharan Africa,0,1,11,5,26,21,0,12,837
16,Comoros,Sub-Saharan Africa,0,0,7,27,84,109,0,80,1331
17,Congo,Sub-Saharan Africa,0,0,10,22,67,46,0,151,2011
18,Congo The Democratic Republic of the Congo,Sub-Saharan Africa,0,0,31,75,151,93,0,434,3599
19,Côte d'Ivoire,Sub-Saharan Africa,0,0,20,38,89,91,0,145,2010
20,Djibouti,Sub-Saharan Africa,0,0,11,14,82,124,0,111,1444
21,Equatorial Guinea,Sub-Saharan Africa,0,0,15,30,53,41,0,117,1589
22,Eritrea,Sub-Saharan Africa,0,0,16,21,100,138,0,117,1588
23,Eswatini,Sub-Saharan Africa,0,0,4,6,18,22,0,6,793
24,Ethiopia,Sub-Saharan Africa,0,0,17,38,61,45,0,63,1364
25,Gabon,Sub-Saharan Africa,0,0,12,33,69,47,0,172,2046
26,Gambia,Sub-Saharan Africa,0,0,15,16,49,46,0,115,1512
