id,DataBatch,Date,TotalVolume,4046,4225,4770,TotalBags,SmallBags,LargeBags,XLargeBags,type,region,AveragePrice
0,7,2016-11-06,183542.31,98949.98,22891.61,95.0,61605.72,43571.99,17499.01,534.72,conventional,NewOrleansMobile,1.49
1,24,2017-07-16,224434.92,42951.31,120360.02,131.85,60991.74,53141.81,3621.04,4228.89,conventional,HarrisburgScranton,1.38
2,51,2015-01-04,3846.69,1500.15,938.35,0.0,1408.19,1071.35,336.84,0.0,organic,Atlanta,1.76
3,22,2015-07-26,91825.07,1679.28,45615.48,741.77,43788.54,43788.54,0.0,0.0,conventional,BuffaloRochester,1.39
4,50,2015-01-11,54644.32,1491.88,33759.12,1325.17,18068.15,12165.94,5902.21,0.0,conventional,Pittsburgh,1.54
5,9,2017-10-29,193936.8,108447.0,13949.4,264.49,71275.91,39625.9,31443.34,206.67,conventional,Jacksonville,1.17
6,44,2016-02-21,126067.56,46771.81,36674.01,15757.97,26863.77,19800.56,6111.41,951.8,conventional,Columbus,1.05
7,42,2015-03-08,70858.71,34792.41,26156.12,45.91,9864.27,2923.33,6940.94,0.0,organic,Denver,1.09
8,41,2015-03-15,236130.36,100362.24,106186.35,69.48,29512.29,7666.67,21845.62,0.0,organic,West,1.41
9,17,2016-08-28,1260685.59,624795.23,255433.56,2998.26,377458.54,366510.31,2461.88,8486.35,conventional,DallasFtWorth,0.74
10,25,2016-07-03,85205.46,1970.63,47537.91,1.25,35695.67,32830.67,0.0,2865.0,conventional,Syracuse,1.37
11,33,2016-05-08,272057.12,1949.46,201017.01,5353.11,63737.54,56652.84,6645.68,439.02,conventional,GrandRapids,1.04
12,12,2016-10-02,10476.39,788.72,7978.47,0.0,1709.2,746.49,962.71,0.0,organic,Detroit,1.74
13,24,2016-07-10,183741.31,1425.12,88105.93,46.25,94164.01,89911.51,0.0,4252.5,conventional,BuffaloRochester,1.25
14,15,2016-09-11,135309.51,5698.83,68041.16,0.0,61569.52,16797.32,44772.2,0.0,organic,GreatLakes,1.43
15,49,2017-01-22,29547.04,6279.44,1204.4,0.0,22063.2,21974.04,89.16,0.0,organic,DallasFtWorth,1.03
