id,scanid,locationX,locationY
0,KnW7bcCTFKSkaxQM9HwS,0,0
1,WVdanpyXB4Le6D7Qlxqm,0,0
2,yr3L2JcYm938dXdtCYj0,0,0
3,9MGDml7ZSWLVrxkytoR8,0,0
4,bFesNkqRjhgvo7bAHQs6,0,0
5,9xtGXaudjqX40DDTw2wc,0,0
6,x73WexagJ3epot4Vt5hI,0,0
7,HFne5SeGBk44BKDH4zS2,0,0
8,w8Pjg1FP9CweGmwiNdaM,0,0
9,zcjOWinxMd4Xw3aysC9x,0,0
10,Q2OoAeWc1JM0OvQXc7dy,0,0
11,1F6OowOql2eDF0Yz1Hfu,0,0
12,xR5FG3BDiA64dKQR4BwD,0,0
13,Adl4UgWIuFUFmHICiGP1,0,0
14,cGTuDK1shUbOJDaII2FR,0,0
15,bk8jwa4o5eVGxFTxkAC1,0,0
16,G9yRzImXLTb209OaKfKG,0,0
17,j3XMMibZmDSHyVXUh2kC,0,0
18,NYxIYoCol5rv9T116k4O,0,0
19,rWGUczcW9ItNnBCDIkUa,0,0
20,WNF2T84rZKWN4xwkEVrB,0,0
21,Wtc78memEy64lifwqiw1,0,0
22,3D2GvS9Heoa1aSM1snmX,0,0
23,zclV5ugM0YQ0tcNkJqWx,0,0
24,oLR9ABRawtGRzeZakBGs,0,0
25,r4DVIoHc2HXftS72gimb,0,0
26,Af02bVzYpeDLqy9C633a,0,0
27,c7PyZsvGMN5yAkQRZTSq,0,0
28,OxledRhQVM2sVP7ufsJd,0,0
29,zJmD6ws2axAMZ8jDaJQE,0,0
30,KYuiyfWnRy48IkXH81x2,0,0
31,t1xO6gnb4exZmfuV74GP,0,0
32,hb7cq7INdAeGpgQcR2Ba,0,0
33,fwtpR92kPZOzaTw5JujC,0,0
34,zADJybQ8dFfEFPoB4GFh,0,0
35,JAhHF80P2EaqJg03XdaP,0,0
36,0htX2d92sc2kLYOntiuW,0,0
37,dWlefqDqoNUoTPfPJQLf,0,0
38,OqcJ0nW0ncAPopJ6lBKi,0,0
39,9dXttCADtyGlm0TCZ3zg,0,0
40,zE2bexJBUpd1YnMZKqLB,0,0
41,sDuzKBXqP7TGlGU49HYn,0,0
42,OPlT3TYFvS9lhTDJpkkP,0,0
43,95RCIRzvWVgbcAyjq5ZQ,0,0
44,BwmIAczx7gNHON8VTuRy,0,0
45,aMRS7cQSyYEn4N7Hb7p5,0,0
46,3RIAL95zW2psxldjbHbh,0,0
47,972oG2ZYcpxtRxDI204f,0,0
48,vgFl7jnJd463VD0xdyuJ,0,0
49,0anb0MkmrzcOVGDLrIRH,0,0
50,1L0ToJNYWI4AOnvw3Nye,0,0
51,X8MwKCJX1ECqPNwQfbTq,0,0
52,2mzJzNWHFOnrHEcLf50j,0,0
53,DVUCG11mrwc1opAf3P4B,0,0
54,VbC7aNynk8Kuj0011oAT,0,0
55,y6DOJCvMRaAoxoTzlj0n,0,0
56,qMOn43hz0fiulE9NzQQn,0,0
57,YgnqDwopZeLPAEagPRA4,0,0
58,B6J2cCWpSWwW1Qo5vatY,0,0
59,SnsCqLaadOe9zTBlPH65,0,0
60,86oIlvtsgr0F6OmTlz8p,0,0
61,6ZZFfPgxvXkOu7jVkQdG,0,0
62,RU70YqyUFfaiCsikSQdz,0,0
63,1zOpARDP0hugqfy3oxfe,0,0
64,muxMAf2uPnosPhVKk0i6,0,0
65,OuJgtH5sdgVtd3K55RdF,0,0
66,km63IaEbHOxjwvlrb6ip,0,0
67,B2cvVswTK33rPb8N82im,0,0
68,4KpRC1yJkMptcuglfXBb,0,0
69,tLO642UHWtq2XpXhFkXO,0,0
70,5A8Ue1FEpdsEqaFLCK0A,0,0
71,n8D8HL5NdPSic4KJbIw5,0,0
72,bwsLP7HNFiOUMyQztqj2,0,0
73,fpuTVbwKrq2EmtRtGnAG,0,0
74,AGSvKclK7pvtlEu7pVo9,0,0
75,l2r1J9dpNWPKzUHTLhb8,0,0
76,DjbQcBIdtuD8TqLBwtiL,0,0
77,OP8QGOAgzo1KDghIZMQI,0,0
78,ifUEqChVgM9XGz7YJyBL,0,0
79,yb0fW7QJGNMxgJDmoRTB,0,0
80,95UX0EOOg7nrdRCnCRjP,0,0
81,mUiDvY4OGrJnauletV8X,0,0
82,TKEwzEKIbBjf1btd63mm,0,0
83,k83LqRmzpuxXBtFoeYJJ,0,0
84,bdbgy9y30kWr6t9HRQwo,0,0
85,RslyKJ8p93Ztb9fFqnbE,0,0
86,wGzdRydKYhxgQN6ZJGhu,0,0
87,cOcCS3rqSDL5vBhGH0tk,0,0
88,CbSKw7VsrKwKpNFW4yiD,0,0
89,GptgTP07gZx2mMKc4kIB,0,0
90,KxDKuG7HI8MlVLlDoQ3J,0,0
91,dpmzX8WRwIywLxWZLVAd,0,0
92,GQ3QR7GIeS1NZxQnYfHR,0,0
93,zdI1UZe1hKbMzxAEAnoi,0,0
94,ggOpXDbzjI5hLVh2G6cn,0,0
95,GU4HX4y0l1Pm8cGukyKA,0,0
96,dHXIwA3dTzHRZjpxlA3Y,0,0
97,n3y4V2w0XSK8O92AUsM6,0,0
98,zekUyNFAwIx2rBmVjJAX,0,0
99,f1Vq2wQO5RObCX2pZetw,0,0
100,BTWjsEIjfE4ZVZkHbXCo,0,0
