"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x4ce3 No such name A d33d21NRXXEZL.tentopspot.net SOA a.gtld-servers.net"
"2","1.173819","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0xaf96 No such name A d33d05NEBUXA4.tentopspot.net SOA a.gtld-servers.net"
"3","1.701817","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x8716 No such name A d33d453VNUQGI.tentopspot.net SOA a.gtld-servers.net"
"4","1.750556","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0xd080 No such name A d33d0433MN5ZC.tentopspot.net SOA a.gtld-servers.net"
"5","2.150660","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x2ca0 No such name A d33d02A43JOQQ.tentopspot.net SOA a.gtld-servers.net"
"6","2.598875","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0xec06 No such name A d33d02GC3LFOQ.tentopspot.net SOA a.gtld-servers.net"
"7","2.713066","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x234c No such name A d33d17WCAQKCI.tentopspot.net SOA a.gtld-servers.net"
"8","2.971600","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x2530 No such name A d33d01NCEKRSH.tentopspot.net SOA a.gtld-servers.net"
"9","3.030360","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x0083 No such name A d33d01JBEUUS2.tentopspot.net SOA a.gtld-servers.net"
"10","3.481247","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0xe47c No such name A d33d01MJVHE6U.tentopspot.net SOA a.gtld-servers.net"
"11","3.890503","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x7326 No such name A d33d01CRKJJVI.tentopspot.net SOA a.gtld-servers.net"
"12","3.932642","192.168.93.1","192.168.93.4","DNS","161","Standard query response 0x1f0f No such name A d33d09VKWK5MF.tentopspot.net SOA a.gtld-servers.net"
