,Text,Sentiments
0,"ASSETS OF MONEY MARKET MUTUAL FUNDS ROSE 720.4 MLN DLRS IN LATEST WEEK

  ASSETS OF MONEY MARKET MUTUAL FUNDS ROSE 720.4 MLN DLRS IN LATEST WEEK
  

",1
1,"HANDY AND HARMAN &lt;HNH> 4TH QTR LOSS
  Shr loss 51 cts vs loss three cts
      Net loss 7,041,000 vs loss 467,000
      Rev 138.9 mln vs 131.4 mln
      12 months
      Shr loss 64 cts vs profit 46 cts
      Net loss 8,843,000 vs profit 6,306,0000
      Rev 558.9 mln vs 556.7 mln
      NOTE: Net loss for 4th qtr 1986 includes charge for
  restructuring of 2.6 mln dlrs after tax, or 19 cts a share.
      1986 net loss includes after tax special charge of 2.7 mln
  dlrs, or 20 cts a share.
  

",1
2,"AMERICA FIRST MORTGAGE SETS SPECIAL PAYOUT
  &lt;America First Federally Guaranteed
  Mortgage Fund Two> said it is making a special distribution of
  71.6 cts per exchangeable unit, which includes 67.62 cts from
  return on capital and 3.98 cts from income gains.
  

",1
3,"AM INTERNATIONAL &lt;AM> CITES STRONG PROSPECTS
  AM International Inc, reporting an
  operating loss for the January 31 second quarter, said
  prospects for the balance of the fiscal year remain good.
      It said orders at its Harris Graphics subsidiary, acquired
  in June 1986, ""continue to run at a strong pace."" For the six
  months, orders rose 35 pct over the corresponding prior-year
  period, or on an annualized basis are running at about 630 mln
  dlrs.
      The backlog at Harris is up 30 pct from the beginning of
  the fiscal year, AM said.
      AM International said its old division are expected to
  benefit from recent new product introductions and the decline
  in the value of the dollar.
      ""Research, development and engineering expenditures in
  fiscal 1987 will be in the 45-50 mln dlr range, and the company
  said it has allocated another 30-40 mln dlrs for capital
  expenditures.
      Earlier AM reported a fourth quarter operating loss of two
  cts a share compared to profits of seven cts a share a year
  ago. Revenues rose to 291.8 mln dlrs from 151.1 mln dlrs.
  

",1
4,"ASSETS OF U.S. MONEY FUNDS ROSE IN WEEK
  Assets of money market mutual funds
  increased 720.4 mln dlrs in the week ended yesterday to 236.90
  billion dlrs, the Investment Company Institute said.
      Assets of 91 institutional funds rose 356 mln dlrs to 66.19
  billion dlrs, 198 general purpose funds rose 212.5 mln dlrs to
  62.94 billion dlrs and 92 broker-dealer funds rose 151.9 mln
  dlrs to 107.77 billion dlrs.
  

",1
5,"GULF APPLIED &lt;GATS> SELLS UNITS, SEES GAIN
  Gulf Applied Technologies Inc said it
  sold its pipeline and terminal operations units for 12.2 mln
  dlrs and will record a gain of 2.9 mln dlrs in the first
  quarter.
      It added that any federal taxes owed on the transaction
  will be offset by operating loss carryovers.
  

",1
6,"LIBERTY ALL-STAR EQUITY FUND INITIAL DIV
  Qtly div five cts vs N.A.
      Payable April two
      Record March 20
      NOTE:1986 dividend includes special two cts per share for
  the period beginning with the fund's commencement of operations
  on Novebmer three through December 31, 1986.
  

",1
7,"U.S. BANK NET FREE RESERVES 644 MLN DLRS IN TWO WEEKS TO FEB 25, FED SAYS

  U.S. BANK NET FREE RESERVES 644 MLN DLRS IN TWO WEEKS TO FEB 25, FED SAYS
  

",1
8,"N.Z. TRADING BANK DEPOSIT GROWTH RISES SLIGHTLY
  New Zealand's trading bank seasonally
  adjusted deposit growth rose 2.6 pct in January compared with a
  rise of 9.4 pct in December, the Reserve Bank said.
      Year-on-year total deposits rose 30.6 pct compared with a
  26.3 pct increase in the December year and 34.5 pct rise a year
  ago period, it said in its weekly statistical release.
      Total deposits rose to 17.18 billion N.Z. Dlrs in January
  compared with 16.74 billion in December and 13.16 billion in
  January 1986.
  

",1
9,"U.S. M-1 MONEY SUPPLY ROSE 2.1 BILLION DLRS
  U.S. M-1 money supply rose 2.1 billion
  dlrs to a seasonally adjusted 736.7 billion dlrs in the
  February 16 week, the Federal Reserve said.
      The previous week's M-1 level was revised to 734.6 billion
  dlrs from 734.2 billion dlrs, while the four-week moving
  average of M-1 rose to 735.0 billion dlrs from 733.5 billion.
      Economists polled by Reuters said that M-1 should be
  anywhere from down four billion dlrs to up 2.3 billion dlrs.
  The average forecast called for a 300 mln dlr M-1 rise.
  

",1
